Local time,Open,High,Low,Close,Volume
02.01.2020 23:00:00.000 GMT+0300,1526.708,1528.548,1526.448,1528.298,2304270.0291
03.01.2020 00:00:00.000 GMT+0300,1528.308,1528.948,1527.835,1528.825,536785.0065
03.01.2020 01:00:00.000 GMT+0300,1528.825,1528.825,1528.825,1528.825,0
03.01.2020 02:00:00.000 GMT+0300,1528.568,1529.098,1527.848,1528.728,365579.9925
03.01.2020 03:00:00.000 GMT+0300,1528.728,1530.588,1528.728,1530.475,658749.9976
03.01.2020 04:00:00.000 GMT+0300,1530.475,1535.748,1529.868,1534.848,1686969.9955
03.01.2020 05:00:00.000 GMT+0300,1534.928,1540.968,1532.535,1538.205,3510390.0433
03.01.2020 06:00:00.000 GMT+0300,1538.255,1540.498,1537.658,1538.548,1803629.9944
03.01.2020 07:00:00.000 GMT+0300,1538.548,1539.585,1537.398,1538.715,1889060.0204
03.01.2020 08:00:00.000 GMT+0300,1538.698,1543.768,1538.288,1541.378,3758929.9679
03.01.2020 09:00:00.000 GMT+0300,1541.398,1542.538,1540.978,1541.215,2119329.9294
03.01.2020 10:00:00.000 GMT+0300,1541.218,1543.918,1540.108,1543.435,4112659.9312
03.01.2020 11:00:00.000 GMT+0300,1543.455,1545.378,1543.000,1544.265,3826956.0337
03.01.2020 12:00:00.000 GMT+0300,1544.285,1550.345,1544.125,1546.765,4226699.8291
03.01.2020 13:00:00.000 GMT+0300,1546.835,1549.545,1545.255,1548.465,3018719.9116
03.01.2020 14:00:00.000 GMT+0300,1548.495,1551.445,1547.875,1549.308,2983139.9918
03.01.2020 15:00:00.000 GMT+0300,1549.318,1549.968,1545.335,1546.365,3643709.898
03.01.2020 16:00:00.000 GMT+0300,1546.358,1547.315,1540.848,1546.228,4386250.0191
03.01.2020 17:00:00.000 GMT+0300,1546.288,1548.068,1544.048,1545.908,5696320.0569
03.01.2020 18:00:00.000 GMT+0300,1545.948,1550.988,1545.705,1548.808,8210920.3339
03.01.2020 19:00:00.000 GMT+0300,1548.808,1550.468,1547.528,1548.238,4021170.1393
03.01.2020 20:00:00.000 GMT+0300,1548.148,1548.838,1546.938,1548.808,2016989.9464
03.01.2020 21:00:00.000 GMT+0300,1548.738,1553.515,1548.328,1549.475,4061560.154
03.01.2020 22:00:00.000 GMT+0300,1549.445,1549.738,1546.158,1547.795,3393270.0157
03.01.2020 23:00:00.000 GMT+0300,1547.775,1548.978,1546.845,1548.978,2889019.9661
04.01.2020 00:00:00.000 GMT+0300,1548.978,1552.148,1548.548,1551.515,905614.9721
06.01.2020 02:00:00.000 GMT+0300,1559.735,1585.625,1559.735,1569.145,3656014.9193
06.01.2020 03:00:00.000 GMT+0300,1569.145,1570.755,1566.995,1569.475,1930439.949
06.01.2020 04:00:00.000 GMT+0300,1569.465,1579.965,1568.725,1577.698,5869070.0531
06.01.2020 05:00:00.000 GMT+0300,1577.678,1577.935,1575.158,1577.495,2259229.8985
06.01.2020 06:00:00.000 GMT+0300,1577.475,1579.455,1576.825,1578.045,2129489.8987
06.01.2020 07:00:00.000 GMT+0300,1578.045,1578.235,1574.805,1576.025,2030299.902
06.01.2020 08:00:00.000 GMT+0300,1576.025,1577.305,1573.445,1574.915,2243099.9279
06.01.2020 09:00:00.000 GMT+0300,1574.905,1577.735,1573.585,1574.325,2841710.0906
06.01.2020 10:00:00.000 GMT+0300,1574.325,1575.145,1570.145,1574.155,3917220.1157
06.01.2020 11:00:00.000 GMT+0300,1574.165,1576.435,1571.265,1575.645,4829949.8558
06.01.2020 12:00:00.000 GMT+0300,1575.635,1577.975,1574.155,1577.215,3024240.0169
06.01.2020 13:00:00.000 GMT+0300,1577.215,1577.605,1575.015,1577.568,1882809.9966
06.01.2020 14:00:00.000 GMT+0300,1577.545,1579.278,1576.065,1578.835,1942520.0224
06.01.2020 15:00:00.000 GMT+0300,1578.765,1578.975,1576.105,1576.595,2505539.8941
06.01.2020 16:00:00.000 GMT+0300,1576.595,1577.655,1571.388,1574.185,3705280.0655
06.01.2020 17:00:00.000 GMT+0300,1574.195,1576.608,1572.525,1572.885,5037889.9574
06.01.2020 18:00:00.000 GMT+0300,1572.885,1574.125,1560.855,1564.165,6288060.1883
06.01.2020 19:00:00.000 GMT+0300,1564.258,1565.668,1560.755,1564.665,5288209.9152
06.01.2020 20:00:00.000 GMT+0300,1564.688,1565.288,1562.075,1564.465,2885760.0689
06.01.2020 21:00:00.000 GMT+0300,1564.475,1568.468,1563.825,1566.478,3531229.9728
06.01.2020 22:00:00.000 GMT+0300,1566.478,1567.668,1562.935,1564.765,2733752.9659
06.01.2020 23:00:00.000 GMT+0300,1564.795,1566.795,1564.225,1565.508,2738889.9326
07.01.2020 00:00:00.000 GMT+0300,1565.508,1566.665,1565.005,1565.445,409339.9942
07.01.2020 01:00:00.000 GMT+0300,1565.445,1565.445,1565.445,1565.445,0
07.01.2020 02:00:00.000 GMT+0300,1565.108,1565.625,1563.325,1563.678,612020.0157
07.01.2020 03:00:00.000 GMT+0300,1563.695,1565.505,1562.515,1564.255,740509.9869
07.01.2020 04:00:00.000 GMT+0300,1564.235,1564.575,1556.445,1557.805,2180890.0833
07.01.2020 05:00:00.000 GMT+0300,1557.825,1560.828,1555.248,1558.938,2863250.0172
07.01.2020 06:00:00.000 GMT+0300,1558.928,1559.905,1558.295,1558.958,1671079.9932
07.01.2020 07:00:00.000 GMT+0300,1558.955,1559.785,1557.935,1559.165,1040519.9528
07.01.2020 08:00:00.000 GMT+0300,1559.168,1562.925,1558.965,1562.425,2358119.9646
07.01.2020 09:00:00.000 GMT+0300,1562.445,1569.218,1562.295,1564.668,4820370.1973
07.01.2020 10:00:00.000 GMT+0300,1564.668,1570.845,1564.495,1569.675,3336999.8932
07.01.2020 11:00:00.000 GMT+0300,1569.635,1570.408,1564.485,1564.835,4126989.8415
07.01.2020 12:00:00.000 GMT+0300,1564.845,1566.795,1563.198,1566.135,2422499.8951
07.01.2020 13:00:00.000 GMT+0300,1566.095,1567.135,1565.055,1565.608,2436039.9246
07.01.2020 14:00:00.000 GMT+0300,1565.585,1568.848,1565.408,1567.548,1587589.9792
07.01.2020 15:00:00.000 GMT+0300,1567.548,1569.525,1563.805,1565.095,2887777.0901
07.01.2020 16:00:00.000 GMT+0300,1565.135,1568.255,1564.548,1568.085,4189939.9757
07.01.2020 17:00:00.000 GMT+0300,1568.085,1571.605,1566.155,1568.905,6348470.211
07.01.2020 18:00:00.000 GMT+0300,1568.885,1571.365,1565.448,1568.498,9568280.22
07.01.2020 19:00:00.000 GMT+0300,1568.498,1571.728,1568.348,1571.048,4541339.8743
07.01.2020 20:00:00.000 GMT+0300,1571.048,1573.085,1570.818,1571.835,2925329.9236
07.01.2020 21:00:00.000 GMT+0300,1571.835,1573.088,1570.665,1572.308,2888560.0567
07.01.2020 22:00:00.000 GMT+0300,1572.298,1572.998,1569.498,1571.208,3219269.9909
07.01.2020 23:00:00.000 GMT+0300,1571.185,1571.968,1569.618,1571.745,2015589.9525
08.01.2020 00:00:00.000 GMT+0300,1571.735,1577.248,1571.468,1573.945,1520674.9439
08.01.2020 01:00:00.000 GMT+0300,1573.945,1573.945,1573.945,1573.945,0
08.01.2020 02:00:00.000 GMT+0300,1575.238,1598.348,1573.488,1594.955,4953310.0128
08.01.2020 03:00:00.000 GMT+0300,1594.935,1611.325,1592.505,1598.878,6037139.8926
08.01.2020 04:00:00.000 GMT+0300,1598.878,1604.685,1590.478,1593.365,6033239.8415
08.01.2020 05:00:00.000 GMT+0300,1593.288,1594.448,1583.538,1585.408,5216249.9428
08.01.2020 06:00:00.000 GMT+0300,1585.405,1593.828,1584.965,1590.658,6138529.7775
08.01.2020 07:00:00.000 GMT+0300,1590.668,1593.618,1589.145,1593.105,3211149.931
08.01.2020 08:00:00.000 GMT+0300,1593.075,1595.338,1591.188,1594.428,4418439.8651
08.01.2020 09:00:00.000 GMT+0300,1594.335,1595.105,1592.025,1593.085,3579950.0942
08.01.2020 10:00:00.000 GMT+0300,1593.085,1593.318,1585.815,1588.515,4861259.9373
08.01.2020 11:00:00.000 GMT+0300,1588.515,1588.915,1579.925,1580.915,5596839.9048
08.01.2020 12:00:00.000 GMT+0300,1580.915,1585.655,1579.185,1583.645,3645940.0654
08.01.2020 13:00:00.000 GMT+0300,1583.665,1584.765,1578.905,1580.665,3708529.9492
08.01.2020 14:00:00.000 GMT+0300,1580.745,1582.595,1575.405,1577.165,3959789.9914
08.01.2020 15:00:00.000 GMT+0300,1577.175,1580.015,1573.415,1575.315,4586400.032
08.01.2020 16:00:00.000 GMT+0300,1575.395,1577.498,1568.038,1576.678,6219494.8196
08.01.2020 17:00:00.000 GMT+0300,1576.668,1578.258,1570.918,1573.485,5980740.0703
08.01.2020 18:00:00.000 GMT+0300,1573.465,1574.628,1570.018,1573.485,5583280.0865
08.01.2020 19:00:00.000 GMT+0300,1573.468,1573.468,1552.568,1558.878,9467465.4007
08.01.2020 20:00:00.000 GMT+0300,1558.818,1561.918,1557.048,1561.878,5354819.7746
08.01.2020 21:00:00.000 GMT+0300,1561.828,1562.208,1555.938,1555.958,4661439.8956
08.01.2020 22:00:00.000 GMT+0300,1555.955,1556.065,1552.178,1554.055,3427819.9673
08.01.2020 23:00:00.000 GMT+0300,1554.055,1562.048,1553.138,1559.818,2662100.0767
09.01.2020 00:00:00.000 GMT+0300,1559.758,1560.718,1555.135,1556.095,943759.9778
09.01.2020 01:00:00.000 GMT+0300,1556.095,1556.095,1556.095,1556.095,0
09.01.2020 02:00:00.000 GMT+0300,1556.528,1560.215,1554.698,1557.985,1179919.9581
09.01.2020 03:00:00.000 GMT+0300,1557.958,1558.485,1553.735,1556.565,1393390.0595
09.01.2020 04:00:00.000 GMT+0300,1556.635,1561.285,1555.958,1559.675,2449229.9557
09.01.2020 05:00:00.000 GMT+0300,1559.685,1560.795,1558.925,1560.495,1341449.976
09.01.2020 06:00:00.000 GMT+0300,1560.495,1560.515,1556.408,1558.735,1266459.9419
09.01.2020 07:00:00.000 GMT+0300,1558.695,1559.395,1557.885,1558.325,595369.9946
09.01.2020 08:00:00.000 GMT+0300,1558.325,1558.905,1554.985,1555.265,1664019.9423
09.01.2020 09:00:00.000 GMT+0300,1555.258,1555.805,1540.105,1544.068,2603980.0644
09.01.2020 10:00:00.000 GMT+0300,1544.075,1547.308,1543.935,1545.478,3913249.9695
09.01.2020 11:00:00.000 GMT+0300,1545.478,1548.618,1544.478,1547.268,5531209.9457
09.01.2020 12:00:00.000 GMT+0300,1547.305,1547.708,1544.855,1546.285,4473309.9937
09.01.2020 13:00:00.000 GMT+0300,1546.285,1548.155,1545.515,1547.395,2155430.0785
09.01.2020 14:00:00.000 GMT+0300,1547.375,1549.298,1547.128,1548.355,987209.9757
09.01.2020 15:00:00.000 GMT+0300,1548.355,1556.488,1546.408,1554.645,3920789.957
09.01.2020 16:00:00.000 GMT+0300,1554.665,1554.725,1548.665,1549.785,4748779.7737
09.01.2020 17:00:00.000 GMT+0300,1549.765,1552.558,1547.648,1551.645,4272439.9567
09.01.2020 18:00:00.000 GMT+0300,1551.648,1552.488,1544.745,1546.665,4777400.0168
09.01.2020 19:00:00.000 GMT+0300,1546.635,1550.088,1546.575,1549.455,2054800.0336
09.01.2020 20:00:00.000 GMT+0300,1549.355,1552.128,1549.115,1549.188,1628530.0255
09.01.2020 21:00:00.000 GMT+0300,1549.188,1555.028,1549.188,1552.665,1833920.002
09.01.2020 22:00:00.000 GMT+0300,1552.675,1554.425,1552.215,1552.655,1493389.9641
09.01.2020 23:00:00.000 GMT+0300,1552.635,1552.985,1549.628,1550.695,1533400.0587
10.01.2020 00:00:00.000 GMT+0300,1550.738,1552.478,1550.665,1551.685,514705.0023
10.01.2020 01:00:00.000 GMT+0300,1551.685,1551.685,1551.685,1551.685,0
10.01.2020 02:00:00.000 GMT+0300,1552.198,1553.648,1551.615,1552.645,515299.9759
10.01.2020 03:00:00.000 GMT+0300,1552.665,1552.665,1550.055,1551.845,915319.9792
10.01.2020 04:00:00.000 GMT+0300,1551.845,1551.855,1547.418,1547.918,1337939.9776
10.01.2020 05:00:00.000 GMT+0300,1547.915,1549.238,1547.108,1548.795,1038822.0549
10.01.2020 06:00:00.000 GMT+0300,1548.795,1548.915,1546.188,1546.295,929470.0027
10.01.2020 07:00:00.000 GMT+0300,1546.285,1547.305,1545.665,1547.035,578909.9932
10.01.2020 08:00:00.000 GMT+0300,1547.025,1548.628,1546.448,1548.335,933139.9798
10.01.2020 09:00:00.000 GMT+0300,1548.325,1548.445,1546.185,1547.825,1265570.0445
10.01.2020 10:00:00.000 GMT+0300,1547.825,1551.628,1547.298,1550.675,2392719.9841
10.01.2020 11:00:00.000 GMT+0300,1550.735,1552.368,1549.745,1551.005,2433680.0575
10.01.2020 12:00:00.000 GMT+0300,1550.995,1551.275,1547.735,1548.245,1459579.9446
10.01.2020 13:00:00.000 GMT+0300,1548.235,1549.688,1548.045,1548.755,944090.0087
10.01.2020 14:00:00.000 GMT+0300,1548.775,1550.845,1547.945,1550.588,851149.9763
10.01.2020 15:00:00.000 GMT+0300,1550.575,1550.575,1548.668,1549.445,1049469.9478
10.01.2020 16:00:00.000 GMT+0300,1549.455,1556.528,1546.768,1548.625,7404520.0348
10.01.2020 17:00:00.000 GMT+0300,1548.635,1554.468,1547.665,1553.305,6626110.0769
10.01.2020 18:00:00.000 GMT+0300,1553.305,1559.348,1552.798,1558.615,4714620.1134
10.01.2020 19:00:00.000 GMT+0300,1558.615,1560.995,1557.765,1559.928,4937819.9577
