Local time,Open,High,Low,Close,Volume
03.04.2023 00:00:00.000 GMT+0300,1973.202,1990.675,1949.975,1985.685,31410199.9703
04.04.2023 00:00:00.000 GMT+0300,1985.136,2025.205,1977.215,2020.955,27994200.1402
05.04.2023 00:00:00.000 GMT+0300,2021.346,2032.255,2010.252,2021.405,28200829.96779999
06.04.2023 00:00:00.000 GMT+0300,2021.846,2021.846,2001.095,2007.802,33870215.147599995
07.04.2023 00:00:00.000 GMT+0300,2007.802,2007.802,2007.802,2007.802,0
10.04.2023 00:00:00.000 GMT+0300,1993.342,2006.935,1981.922,1991.855,22442770.0489
11.04.2023 00:00:00.000 GMT+0300,1992.616,2007.645,1988.975,2004.555,22505989.998600002
12.04.2023 00:00:00.000 GMT+0300,2004.266,2028.505,2001.536,2015.475,30495449.930300005
13.04.2023 00:00:00.000 GMT+0300,2015.646,2048.926,2014.202,2040.505,24819231.018299997
14.04.2023 00:00:00.000 GMT+0300,2040.966,2047.665,1992.605,2005.102,34788689.8368
17.04.2023 00:00:00.000 GMT+0300,1999.402,2015.225,1981.375,1995.585,25795830.041400004
18.04.2023 00:00:00.000 GMT+0300,1995.932,2012.045,1991.502,2005.652,22435649.9314
19.04.2023 00:00:00.000 GMT+0300,2006.116,2008.385,1969.492,1995.495,26521367.102599997
20.04.2023 00:00:00.000 GMT+0300,1995.996,2012.595,1990.735,2005.052,23748639.822100002
21.04.2023 00:00:00.000 GMT+0300,2006.102,2006.102,1971.875,1983.952,29626960.158399995
24.04.2023 00:00:00.000 GMT+0300,1981.902,1991.015,1974.305,1989.462,23223249.912299994
25.04.2023 00:00:00.000 GMT+0300,1990.096,2004.095,1976.352,1997.725,32851209.044499997
26.04.2023 00:00:00.000 GMT+0300,1997.596,2009.655,1983.535,1989.515,36150528.9375
27.04.2023 00:00:00.000 GMT+0300,1990.386,2003.892,1974.316,1988.152,40969489.81260001
28.04.2023 00:00:00.000 GMT+0300,1988.686,1995.305,1976.496,1990.602,31361719.9363
01.05.2023 00:00:00.000 GMT+0300,1991.982,2006.272,1977.366,1983.102,32247940.1231
02.05.2023 00:00:00.000 GMT+0300,1982.476,2019.595,1978.685,2016.975,25010846.9724
03.05.2023 00:00:00.000 GMT+0300,2018.156,2040.826,2008.340,2039.502,29707567.9897
04.05.2023 00:00:00.000 GMT+0300,2041.236,2081.292,2030.575,2050.775,42731367.05149999
05.05.2023 00:00:00.000 GMT+0300,2051.386,2053.235,1999.752,2017.402,30272047.892
08.05.2023 00:00:00.000 GMT+0300,2017.392,2029.622,2014.552,2022.415,20766120.0764
09.05.2023 00:00:00.000 GMT+0300,2021.796,2037.682,2019.615,2035.132,22436559.7366
10.05.2023 00:00:00.000 GMT+0300,2035.066,2048.495,2021.685,2031.325,28921555.131800003
11.05.2023 00:00:00.000 GMT+0300,2030.612,2041.622,2011.325,2015.332,35906423.076900005
12.05.2023 00:00:00.000 GMT+0300,2015.896,2022.775,2001.135,2011.702,27139240.235100005
15.05.2023 00:00:00.000 GMT+0300,2009.152,2022.385,2007.762,2017.002,23099186.003200002
16.05.2023 00:00:00.000 GMT+0300,2017.096,2018.605,1985.745,1989.552,27582583.993499998
17.05.2023 00:00:00.000 GMT+0300,1989.696,1993.312,1975.262,1982.732,24864847.034099996
18.05.2023 00:00:00.000 GMT+0300,1982.482,1986.235,1952.205,1957.902,30153912.723100003
19.05.2023 00:00:00.000 GMT+0300,1957.912,1984.512,1954.245,1978.202,26660443.8425
22.05.2023 00:00:00.000 GMT+0300,1978.182,1982.845,1969.125,1972.285,24696280.151600003
23.05.2023 00:00:00.000 GMT+0300,1972.796,1977.916,1954.405,1975.702,27615492.075700004
24.05.2023 00:00:00.000 GMT+0300,1976.456,1985.465,1956.915,1957.372,27454800.367299996
25.05.2023 00:00:00.000 GMT+0300,1958.096,1964.925,1939.015,1941.702,28386291.9808
26.05.2023 00:00:00.000 GMT+0300,1941.426,1957.556,1936.975,1947.212,27472089.141299997
29.05.2023 00:00:00.000 GMT+0300,1943.122,1949.935,1940.485,1943.505,17813459.895499997
30.05.2023 00:00:00.000 GMT+0300,1944.996,1963.705,1932.265,1959.612,27258005.112499997
31.05.2023 00:00:00.000 GMT+0300,1959.632,1974.945,1953.835,1963.172,23991824.8356
01.06.2023 00:00:00.000 GMT+0300,1963.496,1983.335,1953.595,1978.102,24420570.1352
02.06.2023 00:00:00.000 GMT+0300,1977.396,1983.662,1948.012,1948.462,30377844.601899993
05.06.2023 00:00:00.000 GMT+0300,1947.902,1964.305,1938.355,1962.052,20160153.016500004
06.06.2023 00:00:00.000 GMT+0300,1962.356,1966.535,1954.615,1963.842,19773707.851499997
